molregno	level5	level1_description	level2_description	level3_description	level4_description
1377671	B01AA11	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Vitamin K antagonists
13616	D08AX03	DERMATOLOGICALS	ANTISEPTICS AND DISINFECTANTS	ANTISEPTICS AND DISINFECTANTS	Other antiseptics and disinfectants
522730	L01XE31	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors
164064	V04CC03	VARIOUS	DIAGNOSTIC AGENTS	OTHER DIAGNOSTIC AGENTS	Tests for bile duct patency
668237	R06AC53	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Substituted ethylene diamines
1451060	A07AA10	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFECTIVES	Antibiotics
312304	R01AX08	RESPIRATORY SYSTEM	NASAL PREPARATIONS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	Other nasal preparations
1380466	P03AX05	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES	Other ectoparasiticides, incl. scabicides
1378319	A07BA01	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ADSORBENTS	Charcoal preparations
2039252	A12CC06	ALIMENTARY TRACT AND METABOLISM	MINERAL SUPPLEMENTS	OTHER MINERAL SUPPLEMENTS	Magnesium
2039333	A03AC02	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	Synthetic antispasmodics, amides with tertiary amines
378207	J01FF02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS	Lincosamides
80719	N05AA07	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Phenothiazines with aliphatic side-chain
658310	D01AE17	DERMATOLOGICALS	ANTIFUNGALS FOR DERMATOLOGICAL USE	ANTIFUNGALS FOR TOPICAL USE	Other antifungals for topical use
1377367	N02BA14	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Salicylic acid and derivatives
675164	R03CC06	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS FOR SYSTEMIC USE	Selective beta-2-adrenoreceptor agonists
1219	C08DA51	CARDIOVASCULAR SYSTEM	CALCIUM CHANNEL BLOCKERS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS	Phenylalkylamine derivatives
16278	J01MA07	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
33679	D11AX10	DERMATOLOGICALS	OTHER DERMATOLOGICAL PREPARATIONS	OTHER DERMATOLOGICAL PREPARATIONS	Other dermatologicals
366278	S01EC04	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Carbonic anhydrase inhibitors
1121878	L01XC24	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
1817518	L01XE35	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors
114506	J01DD06	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER BETA-LACTAM ANTIBACTERIALS	Third-generation cephalosporins
675428	G04BX15	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	UROLOGICALS	Other urologicals
674591	B03AD02	BLOOD AND BLOOD FORMING ORGANS	ANTIANEMIC PREPARATIONS	IRON PREPARATIONS	Iron in combination with folic acid
1381154	A16AB04	ALIMENTARY TRACT AND METABOLISM	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	Enzymes
150846	N03AC03	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Oxazolidine derivatives
1160052	V03AN03	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Medical gases
81683	R06AX26	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Other antihistamines for systemic use
55033	G02AD01	GENITO URINARY SYSTEM AND SEX HORMONES	OTHER GYNECOLOGICALS	UTEROTONICS	Prostaglandins
8193	P01AA52	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES	Hydroxyquinoline derivatives
1380	C07AB01	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, selective
27575	D10AA02	DERMATOLOGICALS	ANTI-ACNE PREPARATIONS	ANTI-ACNE PREPARATIONS FOR TOPICAL USE	Corticosteroids, combinations for treatment of acne
27610	N06AX11	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Other antidepressants
258371	N04BC09	NERVOUS SYSTEM	ANTI-PARKINSON DRUGS	DOPAMINERGIC AGENTS	Dopamine agonists
1503084	J01DD09	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER BETA-LACTAM ANTIBACTERIALS	Third-generation cephalosporins
794445	R03DA55	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	Xanthines
674335	C05AA05	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	Corticosteroids
675089	V03AF03	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Detoxifying agents for antineoplastic treatment
674680	D06AX02	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	ANTIBIOTICS FOR TOPICAL USE	Other antibiotics for topical use
230249	M03BA02	MUSCULO-SKELETAL SYSTEM	MUSCLE RELAXANTS	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS	Carbamic acid esters
1078577	N05CM04	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Other hypnotics and sedatives
374064	J01CF06	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Beta-lactamase resistant penicillins
1037865	B05CX01	BLOOD AND BLOOD FORMING ORGANS	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	IRRIGATING SOLUTIONS	Other irrigating solutions
479621	C01DA05	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Organic nitrates
583522	C03AA02	CARDIOVASCULAR SYSTEM	DIURETICS	LOW-CEILING DIURETICS, THIAZIDES	Thiazides, plain
674713	A07EA04	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFLAMMATORY AGENTS	Corticosteroids acting locally
674588	D07XB05	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, OTHER COMBINATIONS	Corticosteroids, moderately potent, other combinations
675474	H01AX01	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES	ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES	Other anterior pituitary lobe hormones and analogues
308422	C01BD07	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	ANTIARRHYTHMICS, CLASS I AND III	Antiarrhythmics, class III
1376038	P01AC01	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES	Dichloroacetamide derivatives
674860	R01AD02	RESPIRATORY SYSTEM	NASAL PREPARATIONS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	Corticosteroids
144744	L01XX10	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
1543376	A04AA04	ALIMENTARY TRACT AND METABOLISM	ANTIEMETICS AND ANTINAUSEANTS	ANTIEMETICS AND ANTINAUSEANTS	Serotonin (5HT3) antagonists
217548	B01AC25	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Platelet aggregation inhibitors excl. heparin
2039258	C10AD04	CARDIOVASCULAR SYSTEM	LIPID MODIFYING AGENTS	LIPID MODIFYING AGENTS, PLAIN	Nicotinic acid and derivatives
1279554	S01AA15	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Antibiotics
150941	V03AB08	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Antidotes
1383214	R06AA56	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Aminoalkyl ethers
2197378	S01XA05	SENSORY ORGANS	OPHTHALMOLOGICALS	OTHER OPHTHALMOLOGICALS	Other ophthalmologicals
674829	H02AB08	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	CORTICOSTEROIDS FOR SYSTEMIC USE	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	Glucocorticoids
27308	J02AC03	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIMYCOTICS FOR SYSTEMIC USE	ANTIMYCOTICS FOR SYSTEMIC USE	Triazole derivatives
49931	L01BA01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ANTIMETABOLITES	Folic acid analogues
1381221	L01XC01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
66238	N05AG01	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Diphenylbutylpiperidine derivatives
192290	G01AC05	GENITO URINARY SYSTEM AND SEX HORMONES	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	Quinoline derivatives
306485	M03AC04	MUSCULO-SKELETAL SYSTEM	MUSCLE RELAXANTS	MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS	Other quaternary ammonium compounds
438486	S01AA02	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Antibiotics
1381408	J07AH01	ANTIINFECTIVES FOR SYSTEMIC USE	VACCINES	BACTERIAL VACCINES	Meningococcal vaccines
59519	N05AH01	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Diazepines, oxazepines, thiazepines and oxepines
674919	A01AC03	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Corticosteroids for local oral treatment
136282	A06AG01	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR CONSTIPATION	DRUGS FOR CONSTIPATION	Enemas
164680	C09AA16	CARDIOVASCULAR SYSTEM	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	ACE INHIBITORS, PLAIN	ACE inhibitors, plain
612263	M03BA51	MUSCULO-SKELETAL SYSTEM	MUSCLE RELAXANTS	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS	Carbamic acid esters
674584	D11AX22	DERMATOLOGICALS	OTHER DERMATOLOGICAL PREPARATIONS	OTHER DERMATOLOGICAL PREPARATIONS	Other dermatologicals
2039203	B03AA06	BLOOD AND BLOOD FORMING ORGANS	ANTIANEMIC PREPARATIONS	IRON PREPARATIONS	Iron bivalent, oral preparations
325239	A07AA08	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFECTIVES	Antibiotics
574519	V09AX06	VARIOUS	DIAGNOSTIC RADIOPHARMACEUTICALS	CENTRAL NERVOUS SYSTEM	Other central nervous system diagnostic radiopharmaceuticals
6902	V03AB15	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Antidotes
32027	S01HA03	SENSORY ORGANS	OPHTHALMOLOGICALS	LOCAL ANESTHETICS	Local anesthetics
100696	N07BB05	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	DRUGS USED IN ADDICTIVE DISORDERS	Drugs used in alcohol dependence
1216376	N07CA04	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	ANTIVERTIGO PREPARATIONS	Antivertigo preparations
5528	C07AA07	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, non-selective
1377705	C10AB06	CARDIOVASCULAR SYSTEM	LIPID MODIFYING AGENTS	LIPID MODIFYING AGENTS, PLAIN	Fibrates
675628	D06BB12	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	CHEMOTHERAPEUTICS FOR TOPICAL USE	Antivirals
31171	C01DX02	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Other vasodilators used in cardiac diseases
675594	A10AE03	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	INSULINS AND ANALOGUES	Insulins and analogues for injection, long-acting
238429	N01AB04	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, GENERAL	Halogenated hydrocarbons
32027	N01BA03	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, LOCAL	Esters of aminobenzoic acid
119640	L01AA06	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ALKYLATING AGENTS	Nitrogen mustard analogues
1378247	A03BB05	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	BELLADONNA AND DERIVATIVES, PLAIN	Belladonna alkaloids, semisynthetic, quaternary ammonium compounds
695408	V04CE01	VARIOUS	DIAGNOSTIC AGENTS	OTHER DIAGNOSTIC AGENTS	Tests for liver functional capacity
148501	B02AA03	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	ANTIFIBRINOLYTICS	Amino acids
85553	M02AA26	MUSCULO-SKELETAL SYSTEM	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	Antiinflammatory preparations, non-steroids for topical use
674860	H02AB06	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	CORTICOSTEROIDS FOR SYSTEMIC USE	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	Glucocorticoids
675611	R05CA01	RESPIRATORY SYSTEM	COUGH AND COLD PREPARATIONS	EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS	Expectorants
675090	L02AB01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONES AND RELATED AGENTS	Progestogens
675150	L02AE02	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONES AND RELATED AGENTS	Gonadotropin releasing hormone analogues
46591	P02DX02	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTHELMINTICS	ANTICESTODALS	Other anticestodals
2197758	L04AD02	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Calcineurin inhibitors
444572	D01AA01	DERMATOLOGICALS	ANTIFUNGALS FOR DERMATOLOGICAL USE	ANTIFUNGALS FOR TOPICAL USE	Antibiotics
795654	N04BC08	NERVOUS SYSTEM	ANTI-PARKINSON DRUGS	DOPAMINERGIC AGENTS	Dopamine agonists
1378588	V09CX03	VARIOUS	DIAGNOSTIC RADIOPHARMACEUTICALS	RENAL SYSTEM	Other renal system diagnostic radiopharmaceuticals
123375	S01FB03	SENSORY ORGANS	OPHTHALMOLOGICALS	MYDRIATICS AND CYCLOPLEGICS	Sympathomimetics excl. antiglaucoma preparations
21036	S01XA21	SENSORY ORGANS	OPHTHALMOLOGICALS	OTHER OPHTHALMOLOGICALS	Other ophthalmologicals
674919	D07AA02	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, PLAIN	Corticosteroids, weak (group I)
73548	C03BA08	CARDIOVASCULAR SYSTEM	DIURETICS	LOW-CEILING DIURETICS, EXCL. THIAZIDES	Sulfonamides, plain
1380816	V04CK02	VARIOUS	DIAGNOSTIC AGENTS	OTHER DIAGNOSTIC AGENTS	Tests for pancreatic function
1381175	V08CB02	VARIOUS	CONTRAST MEDIA	MAGNETIC RESONANCE IMAGING CONTRAST MEDIA	Superparamagnetic contrast media
1380293	A10BJ05	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	Glucagon-like peptide-1 (GLP-1) analogues
1152053	P02BX03	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTHELMINTICS	ANTITREMATODALS	Other antitrematodal agents
2096430	M01CB02	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	SPECIFIC ANTIRHEUMATIC AGENTS	Gold preparations
1377886	R01AC05	RESPIRATORY SYSTEM	NASAL PREPARATIONS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	Antiallergic agents, excl. corticosteroids
83724	J01DD54	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER BETA-LACTAM ANTIBACTERIALS	Third-generation cephalosporins
1763638	N07BB02	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	DRUGS USED IN ADDICTIVE DISORDERS	Drugs used in alcohol dependence
1381358	B03XA01	BLOOD AND BLOOD FORMING ORGANS	ANTIANEMIC PREPARATIONS	OTHER ANTIANEMIC PREPARATIONS	Other antianemic preparations
1380517	C05BA53	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	ANTIVARICOSE THERAPY	Heparins or heparinoids for topical use
86284	V04CD01	VARIOUS	DIAGNOSTIC AGENTS	OTHER DIAGNOSTIC AGENTS	Tests for pituitary function
429213	G03BB01	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	ANDROGENS	5-androstanon (3) derivatives
6883	N01BB07	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, LOCAL	Amides
630356	C08CA11	CARDIOVASCULAR SYSTEM	CALCIUM CHANNEL BLOCKERS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS	Dihydropyridine derivatives
1381484	J06BB13	ANTIINFECTIVES FOR SYSTEMIC USE	IMMUNE SERA AND IMMUNOGLOBULINS	IMMUNOGLOBULINS	Specific immunoglobulins
372440	J01GB10	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	AMINOGLYCOSIDE ANTIBACTERIALS	Other aminoglycosides
222633	P01AB02	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES	Nitroimidazole derivatives
1379267	A03AX07	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	Other drugs for functional gastrointestinal disorders
88841	A06AB52	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR CONSTIPATION	DRUGS FOR CONSTIPATION	Contact laxatives
1037639	J01CE05	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Beta-lactamase sensitive penicillins
114406	N06AX09	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Other antidepressants
991347	N07AX02	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	PARASYMPATHOMIMETICS	Other parasympathomimetics
675245	A07DA01	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	ANTIPROPULSIVES	Antipropulsives
1378253	J04AA03	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIMYCOBACTERIALS	DRUGS FOR TREATMENT OF TUBERCULOSIS	Aminosalicylic acid and derivatives
674883	V08AB04	VARIOUS	CONTRAST MEDIA	X-RAY CONTRAST MEDIA, IODINATED	Watersoluble, nephrotropic, low osmolar X-ray contrast media
21938	G02CB05	GENITO URINARY SYSTEM AND SEX HORMONES	OTHER GYNECOLOGICALS	OTHER GYNECOLOGICALS	Prolactine inhibitors
675300	M03AC05	MUSCULO-SKELETAL SYSTEM	MUSCLE RELAXANTS	MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS	Other quaternary ammonium compounds
134100	C03AA06	CARDIOVASCULAR SYSTEM	DIURETICS	LOW-CEILING DIURETICS, THIAZIDES	Thiazides, plain
1376119	G04BE11	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	UROLOGICALS	Drugs used in erectile dysfunction
2096376	B01AC08	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Platelet aggregation inhibitors excl. heparin
2096390	V03AB22	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Antidotes
1380095	J05AF13	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Nucleoside and nucleotide reverse transcriptase inhibitors
712275	J01CA17	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Penicillins with extended spectrum
675152	N06BA03	NERVOUS SYSTEM	PSYCHOANALEPTICS	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	Centrally acting sympathomimetics
1369608	G04BD12	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	UROLOGICALS	Drugs for urinary frequency and incontinence
674574	A14AB02	ALIMENTARY TRACT AND METABOLISM	ANABOLIC AGENTS FOR SYSTEMIC USE	ANABOLIC STEROIDS	Estren derivatives
697885	C04AC02	CARDIOVASCULAR SYSTEM	PERIPHERAL VASODILATORS	PERIPHERAL VASODILATORS	Nicotinic acid and derivatives
3730	C02AB01	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	Methyldopa
1537817	D08AA03	DERMATOLOGICALS	ANTISEPTICS AND DISINFECTANTS	ANTISEPTICS AND DISINFECTANTS	Acridine derivatives
453520	S01AA23	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Antibiotics
675405	V09GB01	VARIOUS	DIAGNOSTIC RADIOPHARMACEUTICALS	CARDIOVASCULAR SYSTEM	Iodine (125I) compounds
10661	D04AA02	DERMATOLOGICALS	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	Antihistamines for topical use
16735	D04AB04	DERMATOLOGICALS	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	Anesthetics for topical use
1247587	D09AA05	DERMATOLOGICALS	MEDICATED DRESSINGS	MEDICATED DRESSINGS	Medicated dressings with antiinfectives
71516	L01CA01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS	Vinca alkaloids and analogues
1380943	L03AB13	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSTIMULANTS	IMMUNOSTIMULANTS	Interferons
674513	A01AC03	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Corticosteroids for local oral treatment
1376266	A01AD06	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Other agents for local oral treatment
71339	A02BA06	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	H2-receptor antagonists
139247	G01AC01	GENITO URINARY SYSTEM AND SEX HORMONES	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	Quinoline derivatives
1626743	J05AP09	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Antivirals for treatment of HCV infections
1378005	J05AP06	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Antivirals for treatment of HCV infections
1926770	A16AB17	ALIMENTARY TRACT AND METABOLISM	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	Enzymes
2039353	A16AB18	ALIMENTARY TRACT AND METABOLISM	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	Enzymes
1926775	J06BB22	ANTIINFECTIVES FOR SYSTEMIC USE	IMMUNE SERA AND IMMUNOGLOBULINS	IMMUNOGLOBULINS	Specific immunoglobulins
624225	L01XX54	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
